2003-07-21|54549|Tweak UI 2.10
2003-07-22|54559|Why do you have to click the Start button to shut down?
2003-07-23|54576|The scratch program
2003-07-25|54582|Scrollbars, part 2
2003-07-28|54583|Why doesn't Windows have an "expert mode"?
2003-07-30|54592|Why doesn't the new Start menu use Intellimenus in the All Programs list?
2003-07-31|54601|Scrollbars, part 4: Adding a proportional scrollbar
2003-08-07|54615|Scrollbars bart 6 - The wheel
2003-08-08|54618|Why is a registry file called a "hive"?
2003-08-12|54634|Why can't I remove "for test/evaluation purposes only"?
2003-08-13|54639|Scrollbars part 8 - Integral interactive resizing
2003-08-14|54640|Windows 95 doesn't boot with more than 1GB of RAM
2003-08-18|54655|Why does Windows 95 have functions called BEAR, BUNNY and PIGLET?
2003-08-20|54672|What is in the "Windows 95 Special Edition" box?
2003-08-21|54675|The secret life of GetWindowText
2003-08-22|54679|Why isn't my time zone highlighted on the world map?
2003-08-25|54700|Windows brings out the Rorschach test in everyone
2003-08-27|54710|What are those little overlay icons?
2003-08-27|54712|What are all these files in my C:\WINDOWS\CSC directory?
2003-08-27|54715|Why are these unwanted files/folders opening when I log on?
2003-08-28|54719|Hardware backwards compatibility
2003-08-31|54733|Setup could not verify integrity of file
2003-09-01|54734|The default answer to every dialog box is "Cancel"
2003-09-01|54754|Suburbs make you fat, researchers conclude
2003-09-01|54756|Even the trees are falling for the media's lies
2003-09-02|54758|Determining whether your window is covered
2003-09-02|54759|The World Adult Kickball Association
2003-09-03|54760|Why is there no programmatic access to the Start menu pin list?
2003-09-04|54794|Why are the rules for GetWindowText so weird?
2003-09-05|54802|Case mapping on Unicode is hard
2003-09-05|54806|How to recognize different types of timestamps from quite a long way away
2003-09-08|54811|An insight into the Windows 95 startup sound
2003-09-08|54817|It's a lot easier to write a column if you don't care about accuracy
2003-09-10|54831|Why do some people call the taskbar the "tray"?
2003-09-11|54885|Scrollbars part 10 - Towards a deeper understanding of the WM_NCCALCSIZE message
2003-09-12|54896|Why does the taskbar default to the bottom of the screen?
2003-09-15|54925|Scrollbars part 11: Towards an even deeper understanding of the WM_NCCALCSIZE message
2003-09-16|54938|Why does Win32 fail a module load if an import could not be resolved?
2003-09-17|54944|Scrollbars part 12: Applying WM_NCCALCSIZE to our scrollbar sample
2003-09-17|54945|Answers to exercise from Scrollbars Part 11
2003-09-17|54946|The end of the scrollbar series
2003-09-20|55055|When I dock my taskbar vertically, why does the word "Start" disappear?
2003-09-29|55082|Why you can't rotate text
2003-09-30|55100|Why is the readonly property for folders so strange?
2003-10-01|55108|Why do I get spurious WM_MOUSEMOVE messages?
2003-10-07|55194|Stupid memory-mapping tricks
2003-10-08|55204|I'm doing this instead of writing a book
2003-10-08|55223|In Explorer, you can right-click the icon in the caption
2003-10-08|55239|Why is address space allocation granularity 64K?
2003-10-10|55256|Why doesn't the clock in the taskbar display seconds?
2003-10-13|55279|Why is there no WM_MOUSEENTER message?
2003-10-15|55296|What about BOZOSLIVEHERE and TABTHETEXTOUTFORWIMPS?
2003-10-17|55345|Don't let Marketing mess with your slides
2003-10-20|55367|What is the Alt+Tab order?
2003-10-22|55388|What's the deal with those reserved filenames like NUL and CON?
2003-10-23|55408|Writing a sort comparison function
2003-10-24|55413|Why Daylight Savings Time is nonintuitive
2003-11-03|55532|The long and sad story of the Shell Folders key
2003-11-10|55635|How much do you expect from a framework layer?
2003-11-11|55653|Safer subclassing
2003-11-12|55659|A different type of dialog procedure
2003-11-13|55662|Another different type of dialog procedure
2003-11-14|55678|Preventing edit control text from being autoselected in a dialog box
2003-11-19|55744|Notepad's geek options require Word Wrap be disabled
2003-11-19|55757|How can I tell if I have the 64-bit edition of Windows?
2003-11-20|55764|What's the deal with the System Volume Information folder?
2003-11-21|55799|Why isn't Fast User Switching enabled on domains?
2003-11-24|55823|A shortcut to the Run dialog
2003-11-24|55833|You can drag/drop to the command prompt
2003-11-25|55850|What do the letters W and L stand for in WPARAM and LPARAM?
2003-11-26|55872|Other tricks with WM_GETDLGCODE
2003-11-27|55877|It's like the Swedes don't want you to learn their language
2003-11-28|55892|Hello Sweden, you're on fire
2003-12-01|55900|What are these strange values returned from GWLP_WNDPROC?
2003-12-02|55914|Which message numbers belong to whom?
2003-12-03|55927|Which window style bits belong to whom?
2003-12-05|55936|Why do I have to return this goofy value for WM_DEVICECHANGE?
2003-12-08|55954|If FlushInstructionCache doesn't do anything, why do you have to call it?
2003-12-09|55988|Why you should never suspend a thread
2003-12-10|56028|What is the command line length limit?
2003-12-11|56043|How do I pass a lot of data to a process when it starts up?
2003-12-12|56061|Why are structure sizes checked strictly?
2003-12-16|43890|The unsafe device removal dialog
2003-12-18|44425|How to void your warranty
2003-12-22|45152|How do I determine whether I own a critical section if I am not supposed to look at internal fields?
2003-12-23|45481|When programs grovel into undocumented structures...
2003-12-24|45779|Why not just block the apps that rely on undocumented behavior?
2003-12-25|45926|What order do programs in the startup group execute?
2003-12-26|45979|You can read a contract from the other side
2003-12-28|46208|Danish so-called "pronunciation"
